If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
How Do Top Android Developers QA Test Their Apps?,Visa inaugura Co-Creation Center em São Paulo,Building interfaces with ConstraintLayout - Google Developers,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Python Is Not Java (dirtSimple.org),Creating Compound Views on Android
The Continuous Delivery Maturity Model,"DevOps security requires new mindset and tools for visibility, automation",Using Honcho to Create a Multi-Process Docker Container,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,"Docker - Build, Ship, and Run Any App, Anywhere",Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!
"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise","Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Introducing Kotlin support in Spring Framework 5.0
How Netflix does A/B Testing - uxdesign.cc - User Experience Design,Machine Learning Is No Longer Just for Experts,Google's Cloud Machine Learning service is now in public beta,Algorithms and architecture for job recommendations,6 reasons why I like KeystoneML,AI Is Here to Help You Write Emails People Will Actually Read
Android Mobile Vision restores operation and adds Text API | Android Developers Blog,StrictMode for Runtime Analysis on Android - Google Developers,"Fresco, sim! - Android Dev BR",Firebase Test Lab for Android,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",My favorite people and resources to learn Android programming from
Using DiffUtil in Android RecyclerView,Firebase Test Lab for Android,Listas com RecyclerView - Android Dev BR,Testes unitários vs aceitação - Android Dev BR,Sam Newman - Backends For Frontends,Post: Just Say mNo to Hungarian Notation
Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Combining Spring Boot and JDBI,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Building Spring Cloud Microservices That Strangle Legacy Systems,"Kotlin in Production - What works, Whats broken",Standing on the Shoulders of Giants - Built to Adapt
The Definitive Guide to Database Version Control,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,Google segue Microsoft e lança ferramenta analítica grátis,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Monitoramento em tempo real com Elasticsearch e Kibana,The Continuous Delivery Maturity Model
10 Modern Software Over-Engineering Mistakes,"What do you mean by ""Event-Driven""?",The Broken Window Theory,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Cloud Native Part 1: Definition,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb
6 reasons why I like KeystoneML,Machine Learning Is No Longer Just for Experts,Google's Cloud Machine Learning service is now in public beta,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Algorithms and architecture for job recommendations,How Netflix does A/B Testing - uxdesign.cc - User Experience Design
Bancos brasileiros fecham 200 agências em 2015 - Home - iG,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Ordering coffee in Italy: the 10 commandments,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads","AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts"
Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Conselho da SABMiller aceita proposta de compra da AB InBev,Gartner Reprint,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
Leveling Up Your JavaScript -,The five phases of migrating to Google Cloud Platform,CSS Containment in Chrome 52 | Web Updates - Google Developers,Berners-Lee quer criar outra Web,Docker 1.12: Now with Built-in Orchestration!,Prisma for Android is now live for all in the Google Play Store
Making open source data more available,The barbell effect of machine learning.,The AI business landscape,Google researchers teach AIs to see the important parts of images - and tell you about them,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Hello, TensorFlow!"
"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Mobify report reveals impact of mobile website speed,"Don't Start Big, Start a Little Snowball",Things you probably didn't know you could do with Chrome's Developer Console
'We've realized a ten-year strategy goal in one year',How enterprise architects can help ensure success with digital transformations,Machine Learning Is Redefining The Enterprise In 2016,Blaise Agüera y Arcas: How computers are learning to be creative,Nintendo has doubled in value since Pokémon Go's release,The Internet of Things is looking for its VisiCalc
Google is testing a new Material Design layout for desktop searches,What to Inspect When You are Inspecting!,Ouça a música criada pela inteligência artificial do Google | Google Discovery,What Color is Your Function?,Facebook says its new AI is almost as good as humans at understanding context,CSS Containment in Chrome 52 | Web Updates - Google Developers
You don't talk about refactoring club,The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,Building Flipkart Lite: A Progressive Web App,What Color is Your Function?,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise"
A importância dos filmes de mulherzinha - Capitolina,Empresa britânica adota licença remunerada no período menstrual,Mulheres são mais criativas que homens?,Criadas para casar,Google employees are adding 'Lady' to their job titles to fight sexism,Promoting gender equality through emoji �� ��
'The Simpsons' celebrates 600 episodes with a VR couch gag,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Nova campanha da Avon tem drag queen como estrela,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos
As expectativas das mulheres da Geração Y são muitas,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,A minha viagem à Maternidade #tetodomundo,O dia em que tive mais medo de estar errada.,Workplace diversity in Brazil: there's still a long way to go,#Sentaquelávemtextão
Micro Profile JavaEE com Wildfly Swarm,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Building Spring Cloud Microservices That Strangle Legacy Systems,"Incrível, Skype se lembrou que o Linux existe!"
The Future of Digital Banking is Now,Bradesco lança serviço inédito para estimular o hábito de poupar,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
360 million reasons to destroy all passwords - Free Code Camp,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads","AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,What to Expect at WWDC 2016
"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs",This startup uses machine learning and satellite imagery to predict crop yields,"How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",Google's Cloud Machine Learning service is now in public beta,Algorithms and architecture for job recommendations,Scala is the new golden child
Johnson & Johnson compra líder global em dermocosméticos | EXAME.com,Johnson & Johnson comprará grupo suíço por US$ 30 bi,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Blaise Agüera y Arcas: How computers are learning to be creative,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",7 Questions to Ask Before Your Next Digital Transformation
2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Two Different Sales Motions . . . .,The return of the machinery question,The AI business landscape,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Bad Writing Is Destroying Your Company's Productivity
Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,A step-by-step guide to agile growth experiments,Why image recognition is about to transform business,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",An operating model for company-wide agile development
Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Being A Developer After 40 - Free Code Camp,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Google's Cloud Machine Learning service is now in public beta,Ultimate AI battle - Apple vs. Google,Scala is the new golden child
Confused by blockchains? Revolution vs Evolution,Banking Needs a Customer Experience Wake-Up Call,Making open source data more available,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Itaú é pioneiro do blockchain,The barbell effect of machine learning.
Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,How it feels to learn Javascript in 2016,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,Elastic Stack 5.0.0 Released
Rewiring Citi for the digital age,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",Embracing Agile,Innovation is in all the wrong places,An operating model for company-wide agile development,Here's proof that Google is getting serious about battling Facebook in a key area
